Timestamp,Username,"Basic Information:
1.  Name of Student :",2. Gender of Student," 3.  Age Group of Student
",4. Name of Institute where you are Studying.,5. Please specify your residential area.,"Academic Performance: (Educational Information)
6. 10th percentage",7. 12th percentage Or Diploma Percent,8. Aggregate CGPA till current semester,9. Do you have any current backlog subjects?,10. Have You attended nursery school?,11. Specify the reason of choosing this College ,12. Which course of Engineering you are Pursuing Currently (Branch of Engineering),13. Specify the reason of choosing this course.,"Personal Background:
14. What is the status of   student’s  Mother Education(Mother is Educated or not if yes plz  specify in answer)",15. What is the Job Status of   student’s   Mother?,16. What is the status of   student’s  Father Education( Father Educated or not if yes plz  specify in answer),17. What is the Job Status of   student’s   Father ?,18. Who is student's Current Guardian?,19. What is Size of your family,20. What is your parental relationship Status,21. Rate the quality of family relationships (as 1 marks  for very  Happy and Healthy and 5 is the mark if you    think the relationship of family is  is poor,22. What is your family income?,"Study Habits and Resources:
23. Do you have internet access at home? (Yes/No)",24. What is your mode of transport?,25. How much Travel time is required for your daily commute from home(your staying place) and college.,26. Specify your approximate daily study time?,"Extracurricular Activities:
27. Does your institute provide any extracurricular courses?",28. Have you participated in any workshops or seminars?,29. Do you participate in any community service or volunteering activities? ,"30. Rate your communication skills (1 for excellent, 5 for poor)","31. Rate your leadership qualities (1 for excellent, 5 for poor)","32. Rate your teamwork skills (1 for excellent, 5 for poor)","Internships and Projects:
33. Have you completed any internships till today?",34. Whether these internship were paid or free?,35. Have you completed any Projects Successfully  till today?,"Peer Influence:
36. Rate the quality of your peer group (1 for very positive, 5 for very negative)","Time Management:
37. How well do you manage your time? (1 for excellent, 5 for poor)","Mental Health:
38. What is the status of your current health?(1 for very good 5 for Bad)","39. How often do you feel stressed? (1 for never, 5 for always)",40. Do you have any coping mechanisms for stress? ,"Additional Interests:
41. What are your hobbies and interests?","42. How often do you go out with friends? (1 for never, 5 for very frequently)?",43. Do You have any  romantic relationship ?,"Family Support and Motivation:
44. Does your family motivate you to attend any extra or syllabus-related classes? ",45. Are you attending any other paid classes? ,"Future Aspirations:
46. Are you placed? (Mention Name of Employer if Yes)",47. Are you interested in higher education?,"Substance Use:
48. Do you consume alcohol?",49. Do you Smoke?,50. Do You have any other Addictions?
2024/07/15 10:42:58 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms,URBAN,82,81,8.98,NO,YES,Course preference,Cs,Any other,UG,Any other,PG,Any Other,Father,Greater than 4,Living together,5,Option 3,Yes,Any Other,15 min,1 hour - 4 hour,No,Yes,No,4,4,3,No,,Yes,3,3,4,3,Yes,None,1,No,Sometimes,No,Na,No,No,No,No
2024/07/15 10:44:01 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms coe,URBAN,80,84,6,YES,YES,Course preference,Computer science,Family pressure,Highschool,Housewife,UG,Any Other,Father,Less or equal to 4,Living together,4,2.5 Lakh to 8 Lakh,Yes,Private car/Bike,15 min,15 to 30 min,YES,No,No,3,2,3,No,,No,2,2,3,3,Yes,Soccer . Chess,4,No,Yes,No,No,Yes,No,No,No
2024/07/15 10:45:09 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms Coe ,RURAL,91,63,7,NO,NO,Family pressure,Computer Engineering ,Family pressure,UG,Housewife,UG,Business,Father,Greater than 4,Living together,1,Less than 2.5 Lakh,Yes,Private car/Bike,30 min to 1 hour,15 to 30 min,No,Yes,Yes,3,3,3,No,,No,3,3,3,3,No,Maths,5,Yes,Yes,No,No,Yes,No,No,No
2024/07/15 10:45:14 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS College of Engineering ,URBAN,89.8,77.8,9.2,NO,YES,Course preference,Computer engineering ,Your preference,PG,Housewife,PG,Teacher,Father,Greater than 4,Living together,1,2.5 Lakh to 8 Lakh,Yes,Public Transport,15 min,1 hour - 4 hour,No,Yes,No,4,3,4,No,,Yes,1,2,2,2,Yes,Reading books Data Science Singing classical songs ,5,No,Yes,No,No,Yes,No,No,No
2024/07/15 10:45:44 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,Aissms college of engineering ,URBAN,94%,83%,9.1,NO,YES,Reputation of College,Computer Engineering ,Your preference,PG,Housewife,PG,Industrial Job,Father,Less or equal to 4,Living together,1,More than  15 Lakh,Yes,Public Transport,15 to 30 min,1 hour - 4 hour,YES,Yes,Yes,1,2,1,No,,No,1,2,1,4,Yes,"Swimming, Painting, Cooking ,Travelling ",3,No,Yes,No,No,Yes,Yes,No,No
2024/07/15 10:46:00 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS COE ,URBAN,94%,91%,8.67,NO,YES,Reputation of College,Computer Engineering ,Your preference,PG,Housewife,PG,Any Other,Any other,Greater than 4,Living together,1,2.5 Lakh to 8 Lakh,Yes,Private car/Bike,15 to 30 min,30 min to 1 hour,YES,Yes,Yes,1,1,1,No,,No,1,1,1,1,Yes,"Reading and interests is in study of economics , business and finance ",4,No,Yes,Yes,No ,No,No,No,No
2024/07/15 10:46:10 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,Aissms coe pune,URBAN,96%,69,8.91,NO,YES,Reputation of College,Computer engineering ,Your preference,UG,Housewife,UG,Industrial Job,Father,Greater than 4,Living together,1,2.5 Lakh to 8 Lakh,Yes,Public Transport,15 to 30 min,30 min to 1 hour,YES,Yes,Yes,1,1,1,No,,Yes,1,2,2,2,Yes,I like to read . I like to visit new places. ,3,No,Yes,No,No,Yes,No,No,No
2024/07/15 10:46:14 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,Aissms College of engineering pune,URBAN,93.4,Diploma - 91.20,9.48,NO,YES,Course preference,Computer ,Any other,UG,Teacher,UG,Any Other,Father,Greater than 4,Living together,1,2.5 Lakh to 8 Lakh,Yes,Public Transport,1 hour - 4 hour,30 min to 1 hour,No,Yes,No,2,3,2,Yes,,Yes,5,3,4,5,Yes,Doodling,1,No,Yes,No,No,Yes,No,No,No
2024/07/15 10:46:15 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS COE,URBAN,85.4,85.6,8.36,NO,YES,Course preference,COMPUTER ENGINEERING ,Your preference,Highschool,Housewife,High School,Any Other,Father,Greater than 4,Living together,2,Option 3,Yes,Public Transport,30 min to 1 hour,30 min to 1 hour,YES,Yes,No,2,3,2,No,,Yes,2,2,1,3,Yes,Reading and Drawing ,3,No,Sometimes,No,No.,Yes,No,No,No
2024/07/15 10:46:17 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms coe ,URBAN,86.5,67.3,9.39,NO,YES,Close to home,Computer engineering ,Your preference,UG,Industrial Job,UG,Industrial Job,Mother,Less or equal to 4,Living together,1,2.5 Lakh to 8 Lakh,Yes,Private car/Bike,30 min to 1 hour,30 min to 1 hour,No,Yes,Yes,2,2,2,No,,Yes,2,3,1,3,No,Gym coding,2,No,Yes,No,No,Yes,No,No,No
2024/07/15 10:46:27 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms Coe,RURAL,80,80,8.45,NO,YES,Course preference,CSE,Your preference,Highschool,Housewife,High School,Business,Father,Greater than 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,15 to 30 min,more than 4 hours,YES,Yes,No,3,3,1,No,,Yes,3,1,1,2,No,"I like to play cricket ,to study",3,No,Yes,No,No,No,No,No,No
2024/07/15 10:46:38 AM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,Aissms college of engineering ,URBAN,95,81,9.18,NO,YES,Course preference,Computer engineering ,Your preference,UG,Housewife,UG,Farmer,Father,Greater than 4,Living together,4,Less than 2.5 Lakh,Yes,Public Transport,15 min,1 hour - 4 hour,YES,Yes,Yes,3,3,4,No,,Yes,4,3,4,2,No,Playing badminton and reading books ,4,No,Yes,No,No,No,No,No,No
2024/07/15 10:46:39 AM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS College of Engineering ,URBAN,88,75,7.71,NO,YES,Course preference,Computer Engineering ,Your preference,UG,Housewife,PG,Industrial Job,Father,Less or equal to 4,Living Apart,1,2.5 Lakh to 8 Lakh,Yes,Private car/Bike,15 to 30 min,30 min to 1 hour,YES,No,Yes,3,2,1,No,,Yes,1,1,1,3,Yes,"Volleyball, keeping up with the current technological trends",5,Yes,Yes,Yes,No,Yes,No,No,No
