AggregateCGPATillCurrentSemester,CleanedCGPA
8.98,8.98
6,6.0
7,7.0
9.2,9.2
9.1,9.1
8.67,8.67
8.91,8.91
9.48,9.48
8.36,8.36
9.39,9.39
8.45,8.45
9.18,9.18
7.71,7.71
7,7.0
8.2,8.2
9.45,9.45
7.93,7.93
9.11,9.11
8.27,8.27
9,9.0
7.93,7.93
8.14,8.14
9,9.0
7.7,7.7
9.73,9.73
8.89,8.89
9.11,9.11
8.9,8.9
8.78,8.78
8.84,8.84
8.98,8.98
8.73,8.73
8.34,8.34
8.13,8.13
7.5,7.5
8.54,8.54
8.6,8.6
8.6,8.6
9,9.0
7.625,7.625
7,7.0
9.045,9.045
8.57,8.57
8.98,8.98
9.25,9.25
7.6,7.6
7.6,7.6
7.3,7.3
5.86,5.86
7,7.0
8.32,8.32
7.06,7.06
8.3,8.3
8.2,8.2
7.23,7.23
8.36,8.36
9.27,9.27
7.1,7.1
8.18,8.18
7.98,7.98
No,7.726610921501708
7.93,7.93
9.6,9.6
7.8,7.8
9.14,9.14
8.4,8.4
9.82,9.82
9.66,9.66
9.6,9.6
9.73,9.73
8.98,8.98
8.3,8.3
9.8,9.8
8.6,8.6
9,9.0
9.32,9.32
7,7.0
7.76,7.76
8.8,8.8
9.5,9.5
9.1,9.1
0,7.726610921501708
9.72,9.72
9.9,9.9
8.77,8.77
9.12,9.12
8.91,8.91
8.52,8.52
8.77,8.77
9.86,9.86
7.2,7.2
9,9.0
8.7,8.7
8.07,8.07
7.4,7.4
9.48,9.48
8.39,8.39
6.6,6.6
8.62,8.62
8.33,8.33
8.43,8.43
8,8.0
8.16,8.16
7,7.0
9.55,9.55
9.47,9.47
9.16,9.16
7.84,7.84
8.73,8.73
No,7.726610921501708
8.41,8.41
8.5,8.5
9,9.0
7.61,7.61
-,7.726610921501708
7.93,7.93
8.83,8.83
8.57,8.57
8.6,8.6
10,7.726610921501708
8.6,8.6
7.1,7.1
8.67,8.67
8.78,8.78
9.45,9.45
7.95,7.95
8.48,8.48
9.1,9.1
6.27,6.27
7.4,7.4
8.89,8.89
Back log,3.0
9.51 CGPA,9.51
Null,7.726610921501708
.,7.726610921501708
9.77,9.77
8.32,8.32
10,7.726610921501708
9.05,9.05
7,7.0
Not,7.726610921501708
,7.726610921501708
-,7.726610921501708
7.64,7.64
7.8,7.8
79.48,7.948
7.1,7.1
7.1,7.1
.,7.726610921501708
7.7,7.7
6.3,6.3
6,6.0
6.5,6.5
No,7.726610921501708
7.59,7.59
7.2,7.2
3 back ,3.0
.,7.726610921501708
8.41,8.41
74%,7.4
7.51,7.51
7.5,7.5
6,6.0
Na,7.726610921501708
8.5,8.5
8.66,8.66
5.68,5.68
7,7.0
