HobbiesAndInterests,BroadCategory
None,None
Soccer . Chess,Sports
Maths,Education & Study
Reading books Data Science Singing classical songs ,"Music & Dance, Reading & Writing"
Swimming Painting Cooking Travelling ,"Arts & Crafts, Cooking & Baking, Sports, Travel & Adventure"
Reading and interests is in study of economics  business and finance ,"Business & Finance, Education & Study, Reading & Writing"
I like to read . I like to visit new places. ,"Design, Reading & Writing"
Doodling,Arts & Crafts
Reading and Drawing ,"Arts & Crafts, Reading & Writing"
Gym coding,"Fitness & Gym, Technology & Coding"
I like to play cricket to study,"Education & Study, Sports"
Playing badminton and reading books ,"Reading & Writing, Sports"
Volleyball keeping up with the current technological trends,"Sports, Technology & Coding"
Cooking food any sports ,"Cooking & Baking, Sports"
Listen music,Music & Dance
Reading ,Reading & Writing
Beatboxing,"Music & Dance, Sports"
Chess ,Sports
Interests : Working out at the gym.,Fitness & Gym
Watching movies,Entertainment
Sports ,Sports
Cricket ,Sports
Art study related astronomy travelling ,"Arts & Crafts, Education & Study, Occult & Astrology, Travel & Adventure"
Cars automobiles sports,"Automotive & Racing, Sports"
Trekking traveling and interested in learning geography and current affairs,"Education & Study, Reading & Writing, Travel & Adventure"
Singing and listening eng poetries,"Mind & Wellness, Music & Dance"
competitive gaming (ESPORTS)  music ,"Gaming, Music & Dance, Sports"
Gaming bike riding swimming ,"Automotive & Racing, Gaming, Sports"
Bike riding and trekking ,"Automotive & Racing, Travel & Adventure"
Painting crocheting reading,"Arts & Crafts, Reading & Writing"
Painting,Arts & Crafts
My hobby is to travel new places which are covered by Nature Cooking new dishes learning various languages solving puzzles writing diary regularly playing badminton etc ,"Cooking & Baking, Design, Education & Study, Reading & Writing, Sports, Travel & Adventure"
Drawing playing outdoor games,"Arts & Crafts, Gaming"
Table tennis Swimming ,Sports
Football Swimming ,Sports
I like to write poetry and sometimes sing,Reading & Writing
Volleyball  Football ,Sports
Travelling dancing ,"Music & Dance, Travel & Adventure"
Calisthenics sketching  dancing,"Arts & Crafts, Music & Dance"
Playing football listening podcast organizing events,"Mind & Wellness, Social & Volunteering, Sports"
Playing badminton,Sports
I am a professional graphic designer. Being a graphic designer is my hobby,Design
Hobby - playing games  watching movies. Intrests - learning new skills,"Design, Education & Study, Entertainment, Gaming, Reading & Writing"
Painting diy,"Arts & Crafts, Cooking & Baking"
Walking reading ,"Fitness & Gym, Reading & Writing"
Cookingdancingdrawing,"Arts & Crafts, Cooking & Baking, Music & Dance"
Painting reading cooking dancing,"Arts & Crafts, Cooking & Baking, Music & Dance, Reading & Writing"
Playing Football ,Sports
Gym,Fitness & Gym
playing cricket gym coding ,"Fitness & Gym, Sports, Technology & Coding"
Traveling reading Helping,"Reading & Writing, Travel & Adventure"
Drawing ,Arts & Crafts
Travelling exploring foodie living life,"Cooking & Baking, Travel & Adventure"
Playing fluteguitar solo travelling,"Music & Dance, Travel & Adventure"
No,None
Dancing Exploring new things and travelling ,"Design, Music & Dance, Travel & Adventure"
Singing travelling dancing  learning new skills ,"Design, Education & Study, Music & Dance, Reading & Writing, Travel & Adventure"
Learning new skills ,"Design, Education & Study, Reading & Writing"
Read books,Reading & Writing
No,None
My hoobies are playing outdoor games like football cricket badminton kho kho  kabbadi and indoor games like chess caroom board pool . I aslo like to read  books based mythology autobiography and novel's too.  Languages prefessed hindi marathi and english . I also like do social work  and  currently did social work  with Rss ( Rastriya Swayamsevak Sangh ) being a swayamsevak since childhood. I also like to explore new thing .,"Automotive & Racing, Design, Education & Study, Gaming, Reading & Writing, Social & Volunteering, Sports"
Dancing journaling ,Music & Dance
Dancing computing with people collection of articles ,"Arts & Crafts, Music & Dance, Technology & Coding"
Travelling swimming,"Sports, Travel & Adventure"
Singing ,Music & Dance
Football,Sports
Trekking and I am interested in coding ,"Technology & Coding, Travel & Adventure"
Playing Cricket ,Sports
Cricket,Sports
Cricket ,Sports
Gaming,Gaming
Playing cricket reading books mission gadkottreking,"Reading & Writing, Sports, Travel & Adventure"
Sketching and writing ,"Arts & Crafts, Reading & Writing"
Table tennis ,Sports
Acting cooking,"Arts & Crafts, Cooking & Baking"
Gaming,Gaming
. ,None
Coding ,Technology & Coding
Football drawing online games coding ,"Arts & Crafts, Gaming, Sports, Technology & Coding"
Learning new skills sketching and painting,"Arts & Crafts, Design, Education & Study, Reading & Writing"
Playing outdoor games Swimming Reading ,"Gaming, Reading & Writing, Sports"
All types of sportsGymreading financehistorical and political books or blogslearning new technologies and understanding working of different industries,"Business & Finance, Design, Education & Study, Fitness & Gym, Reading & Writing, Sports, Technology & Coding"
Singing and coding,"Music & Dance, Technology & Coding"
Reading coding ,"Reading & Writing, Technology & Coding"
Anime football cricket movie ,"Entertainment, Sports"
Chess Basketball listening to music,"Mind & Wellness, Music & Dance, Sports"
Reading travelling,"Reading & Writing, Travel & Adventure"
Dancing and reading ,"Music & Dance, Reading & Writing"
Traveling ,Travel & Adventure
Cooking Reading Novels,"Cooking & Baking, Reading & Writing"
Sketching and playing games,"Arts & Crafts, Gaming"
Cooking dancing,"Cooking & Baking, Music & Dance"
Listening to music watching movies.,"Entertainment, Mind & Wellness, Music & Dance"
Travel Collecting old coins Watching documenteries ,"Entertainment, Travel & Adventure"
Guitar,Music & Dance
Reading and playing ,Reading & Writing
Chess and dancing,"Music & Dance, Sports"
producing music,Music & Dance
None,None
Playing Cricket,Sports
Basketball harmonium singing dancing,"Music & Dance, Sports"
Playing Cricket ,Sports
Reading ,Reading & Writing
Sports and cinema ,"Entertainment, Sports"
Sketching,Arts & Crafts
Sports drawing dancing and I have interest in coding a d extracurricular activities,"Arts & Crafts, Music & Dance, Sports, Technology & Coding"
Playing chess badminton online games travelling,"Gaming, Sports, Travel & Adventure"
Trading  poetry ,"Business & Finance, Reading & Writing"
Football watching anime,"Entertainment, Sports"
Riding studying swimming ,"Automotive & Racing, Education & Study, Sports"
Kdrama  reading books ,Reading & Writing
Football,Sports
Martial Arts,"Arts & Crafts, Sports"
Listening to music and playing video games ,"Gaming, Mind & Wellness, Music & Dance"
Photography Technological study ,"Design, Education & Study, Technology & Coding"
Singing ,Music & Dance
sports like badminton and skating,Sports
Reading story books & playing video games are my hobbies ,"Gaming, Reading & Writing"
Reading books articles sketching  study about space listening songs,"Arts & Crafts, Education & Study, Mind & Wellness, Music & Dance, Reading & Writing"
Drawing and Coding,"Arts & Crafts, Technology & Coding"
Basketball  sketching  cricket footballetc,"Arts & Crafts, Sports"
sketching sports outings ,"Arts & Crafts, Sports"
Music,Music & Dance
Travelling Singing Cooking Swimming Playing Badminton.,"Cooking & Baking, Music & Dance, Sports, Travel & Adventure"
Sports and music,"Music & Dance, Sports"
Football Singing Gaming workout,"Fitness & Gym, Gaming, Music & Dance, Sports"
Playing Football and guitar also drawing and listening to music ,"Arts & Crafts, Mind & Wellness, Music & Dance, Sports"
Playing Badminton ,Sports
Hobbies: To play outdoor sports watch movies etc.      Interests: To run a Business.,"Business & Finance, Entertainment, Sports"
Playing cricket watching movies,"Entertainment, Sports"
Getting knowledge about different businesses ,"Business & Finance, Education & Study"
Travelling,Travel & Adventure
I like to read novels play badminton. I also enjoy painting.,"Arts & Crafts, Reading & Writing, Sports"
Dance (kathak class ) reading books ,"Music & Dance, Reading & Writing"
Chess Watching Mystery movies ,"Entertainment, Sports"
Playing games playing basketball reading books,"Gaming, Reading & Writing, Sports"
Adventure trekking swimming reading vacation ,"Reading & Writing, Sports, Travel & Adventure"
I play cricket as my hobby. Love reading books ,"Reading & Writing, Sports"
Photography  swimming  trekking  painting and drawing  badminton  volleyball .,"Arts & Crafts, Design, Sports, Travel & Adventure"
