OriginalRow,OriginalText,CleanText,MatchedCategories,FinalCategory
2,None,none,,None (explicit none match)
3,Soccer . Chess,soccer   chess,Sports (soccer),Sports (soccer)
4,Maths,maths,Education & Study (math),Education & Study (math)
5,Reading books Data Science Singing classical songs ,reading books data science singing classical songs,"Music & Dance (singing), Reading & Writing (read)","Music & Dance (singing), Reading & Writing (read)"
6,Swimming Painting Cooking Travelling ,swimming painting cooking travelling,"Sports (swim), Arts & Crafts (painting), Travel & Adventure (travel), Cooking & Baking (cook)","Arts & Crafts (painting), Cooking & Baking (cook), Sports (swim), Travel & Adventure (travel)"
7,Reading and interests is in study of economics  business and finance ,reading and interests is in study of economics  business and finance,"Reading & Writing (read), Business & Finance (business), Education & Study (study)","Business & Finance (business), Education & Study (study), Reading & Writing (read)"
8,I like to read . I like to visit new places. ,i like to read   i like to visit new places,"Reading & Writing (read), Design (new)","Design (new), Reading & Writing (read)"
9,Doodling,doodling,Arts & Crafts (doodling),Arts & Crafts (doodling)
10,Reading and Drawing ,reading and drawing,"Arts & Crafts (drawing), Reading & Writing (read)","Arts & Crafts (drawing), Reading & Writing (read)"
11,Gym coding,gym coding,"Technology & Coding (coding), Fitness & Gym (gym)","Fitness & Gym (gym), Technology & Coding (coding)"
12,I like to play cricket to study,i like to play cricket to study,"Sports (cricket), Education & Study (study)","Education & Study (study), Sports (cricket)"
13,Playing badminton and reading books ,playing badminton and reading books,"Sports (badminton), Reading & Writing (read)","Reading & Writing (read), Sports (badminton)"
14,Volleyball keeping up with the current technological trends,volleyball keeping up with the current technological trends,"Sports (volley), Technology & Coding (tech)","Sports (volley), Technology & Coding (tech)"
15,Cooking food any sports ,cooking food any sports,"Sports (sport), Cooking & Baking (cook)","Cooking & Baking (cook), Sports (sport)"
16,Listen music,listen music,Music & Dance (music),Music & Dance (music)
17,Reading ,reading,Reading & Writing (read),Reading & Writing (read)
18,Beatboxing,beatboxing,"Sports (boxing), Music & Dance (beatboxing)","Music & Dance (beatboxing), Sports (boxing)"
19,Chess ,chess,Sports (chess),Sports (chess)
20,Interests : Working out at the gym.,interests   working out at the gym,Fitness & Gym (gym),Fitness & Gym (gym)
21,Watching movies,watching movies,Entertainment (movie),Entertainment (movie)
22,Sports ,sports,Sports (sport),Sports (sport)
