PlacementStatusEmployerIfYes,PlacementCategory
Na,No
No,No
No,No
No,No
No,No
No ,No
No,No
No,No
No.,No
No,No
No,No
No,No
No,No
No,No
No,No
Get a get placement in good company ,Yes
Not yet,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No ,No
No,No
No,No
Any employer as long as they are paying me what deserve and dont put me in unwanted work pressure ,Yes
No,No
No,No
No,No
No,No
No,No
No,No
NO,No
No,No
No,No
Not yet,No
Not yet,No
Not placed yet ,No
No,No
Not yet ,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No . But I had to goal to be an front end developer ,No
No,No
No,No
No,No
No,No
no,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No ,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
not placed,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
,No
No,No
No,No
No,No
no,No
 ,No
No,No
No,No
.,No
no,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
.,No
No,No
Any Tech Based Company ,Yes
No,No
No,No
NO,No
.,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
.,No
NO,No
I am not placed yet,No
No,No
No ,No
No,No
No,No
No,No
.,No
Father ,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
What does that mean ,Yes
No,No
No,No
No,No
No,No
Thermax ,Yes
No,No
No,No
No,No
No,No
No,No
,No
No,No
Thermax ,Yes
No,No
No,No
No I'm not placed but actively looking for internships or any other job opportunity ,No
No,No
No,No
No,No
No,No
 not yet,No
Yes ApereHour Energy ,Yes
No,No
No,No
No,No
No,No
No,No
No,No
Tata,Yes
No,No
No,No
.,No
No,No
No. ,No
No,No
No,No
No,No
No,No
No,No
